date,usage
2018-01-01,88
2018-01-02,84
2018-01-03,85
2018-01-04,85
2018-01-05,84
2018-01-06,85
2018-01-07,83
2018-01-08,85
2018-01-09,88
2018-01-10,89
2018-01-11,91
2018-01-12,99
2018-01-13,104
2018-01-14,112
2018-01-15,126
2018-01-16,138
2018-01-17,146
2018-01-18,151
2018-01-19,150
2018-01-20,148
2018-01-21,147
2018-01-22,149
2018-01-23,143
2018-01-24,132
2018-01-25,131
2018-01-26,139
2018-01-27,147
2018-01-28,150
2018-01-29,148
2018-01-30,145
2018-01-31,140
2018-02-01,134
2018-02-02,131
2018-02-03,131
2018-02-04,129
2018-02-05,126
2018-02-06,126
2018-02-07,132
2018-02-08,137
2018-02-09,140
2018-02-10,142
2018-02-11,150
2018-02-12,159
2018-02-13,167
2018-02-14,170
2018-02-15,171
2018-02-16,172
2018-02-17,172
2018-02-18,174
2018-02-19,175
2018-02-20,172
2018-02-21,172
2018-02-22,174
2018-02-23,174
2018-02-24,169
2018-02-25,165
2018-02-26,156
2018-02-27,142
2018-02-28,131
2018-03-01,121
2018-03-02,112
2018-03-03,104
2018-03-04,102
2018-03-05,99
2018-03-06,99
2018-03-07,95
2018-03-08,88
2018-03-09,84
2018-03-10,84
2018-03-11,87
2018-03-12,89
2018-03-13,88
2018-03-14,85
2018-03-15,86
2018-03-16,89
2018-03-17,91
2018-03-18,91
2018-03-19,94
2018-03-20,101
2018-03-21,110
2018-03-22,121
2018-03-23,135
2018-03-24,145
2018-03-25,149
2018-03-26,156
2018-03-27,165
2018-03-28,171
2018-03-29,175
2018-03-30,177
2018-03-31,182
2018-04-01,193
2018-04-02,204
2018-04-03,208
2018-04-04,210
2018-04-05,215
2018-04-06,222
2018-04-07,228
2018-04-08,226
2018-04-09,222
2018-04-10,220
